Reference, Value, Footprint, Datasheet, Distrib Link, Distrib PN, MFG Name, MFG Part Num, Others, Tolerance
J102,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,https://www.digikey.com/product-detail/en/harwin-inc/M20-9990246/952-2262-ND/3728226,952-2262-ND,Harwin,M20-9990246,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&sv=0&pv88=121326&sf=0&FV=69%7C411897%2C1790%7C9726%2C1989%7C0%2C-8%7C314&quantity=&ColumnSort=0&page=1&pageSize=500,-
C102,100nF,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,~,,,,,,
U101,SN74LV1T34DBV,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,http://www.ti.com/lit/ds/symlink/sn74lv1t34.pdf,https://www.digikey.com/product-detail/en/texas-instruments/SN74LV1T34DBVR/296-37176-1-ND/4555593,296-37176-1-ND,TI,SN74LV1T34DBVR,https://octopart.com/search?q=SN74LV1T34DBV,-
J109,Micro_SD,librem5-m2-breakout:ALPS_SCHA4B0419,https://www.mouser.com/datasheet/2/15/alps_SCHA4B0419-1155906.pdf,https://www.mouser.com/ProductDetail/ALPS/SCHA4B0419?qs=sGAEpiMZZMuJakaoiLiBpsFSICW6cUCj0ci6XSEAGXcTwv1T7afZMw%3d%3d,688-SCHA4B0419,ALPS,SCHA4B0419,https://www.mouser.com/Connectors/Memory-Connectors/Memory-Card-Connectors/_/N-axj8k?P=1yzxfxm&Ns=Pricing|0,-
C105,100nF,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,~,,,,,,
C104,22uF,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,~,,,,,,
C103,22uF,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,~,,,,,,
C101,1uF,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,~,,,,,,
J105,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,https://www.digikey.com/product-detail/en/amphenol-icc-fci/68000-401HLF/609-3466-ND/2023286,609-3466-ND,Amphenol,68000-401HLF,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?FV=1989%7C0%2C-8%7C314%2C69%7C411897%2C88%7C39665&quantity=0&ColumnSort=0&page=1&pageSize=500,-
J106,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,https://www.digikey.com/product-detail/en/w-rth-elektronik/61300311121/732-5316-ND/4846825,732-5316-ND,Würth Elektronik,61300311121,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&sv=0&pv88=169295&sf=0&FV=69%7C411897%2C1790%7C9726%2C1989%7C0%2C-8%7C314&quantity=&ColumnSort=0&page=1&pageSize=500,-
J104,Conn_02x03_Counter_Clockwise,Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD,~,https://www.digikey.com/product-detail/en/amphenol-icc-fci/54202-G08-03/609-5602-ND/1488240,609-5602-ND,Amphenol,54202-G08-03,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&sv=0&pv69=409393&sf=1&FV=88%7C249730%2C90%7C121326%2C1790%7C9726%2C1989%7C0%2C-8%7C314&quantity=&ColumnSort=0&page=1&pageSize=500,-
J107,Conn_01x02,Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Right,~,https://www.digikey.com/product-detail/en/harwin-inc/M50-3630242R/952-3933-1-ND/9374745,952-3933-1-ND,,M50-3630242R,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?FV=-8%7C314%2C88%7C121326%2C2024%7C7022&quantity=0&ColumnSort=0&page=1&pageSize=500,
J108,USB_B_Micro,Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical,https://www.we-online.de/katalog/datasheet/614105150721.pdf,https://www.digikey.com/product-detail/en/w-rth-elektronik/614105150721/732-5958-1-ND/5047553,732-5958-1-ND,Würth Elektronik,614105150721,https://www.mouser.com/ProductDetail/Wurth-Elektronik/614105150721?qs=a9WhcLg8qCw5r6rjD3973Q%3D%3D,-
J103,Conn_02x03_Counter_Clockwise,Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD,~,https://www.digikey.com/product-detail/en/amphenol-icc-fci/54202-G08-03/609-5602-ND/1488240,609-5602-ND,Amphenol,54202-G08-03,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&sv=0&pv69=409393&sf=1&FV=88%7C249730%2C90%7C121326%2C1790%7C9726%2C1989%7C0%2C-8%7C314&quantity=&ColumnSort=0&page=1&pageSize=500,-
